r_angstrom,gamma23_mean,gamma23_sem
1.850000000000000000e+01,2.283488762418210172e+01,3.552566614056995586e-01
1.860000000000000142e+01,2.298973956798094065e+01,3.561460849497656289e-01
1.869999999999999929e+01,2.318108324312087731e+01,3.559884852972329816e-01
1.880000000000000071e+01,2.321117775480871970e+01,3.583739385806784528e-01
1.890000000000000213e+01,2.329088400996414521e+01,3.582110198486108676e-01
1.900000000000000000e+01,2.336122663273846811e+01,3.591105629217059003e-01
1.910000000000000142e+01,2.347817163666118745e+01,3.597984019436546999e-01
1.920000000000000284e+01,2.358047046550792558e+01,3.607739731339781319e-01
1.930000000000000071e+01,2.370606645937626666e+01,3.592782923107093462e-01
1.940000000000000213e+01,2.376835417543109585e+01,3.588851003995318645e-01
1.950000000000000000e+01,2.382804008527676487e+01,3.596968311164396859e-01
1.960000000000000142e+01,2.392986350632498826e+01,3.620456555408810839e-01
1.970000000000000284e+01,2.400713475688775844e+01,3.638327337102826298e-01
1.980000000000000071e+01,2.409168248087050657e+01,3.652250932453550147e-01
1.990000000000000213e+01,2.424061499735272207e+01,3.676438837848240992e-01
2.000000000000000000e+01,2.434973912720148803e+01,3.680167656889646310e-01
2.010000000000000142e+01,2.444349712847414224e+01,3.710956481087558378e-01
2.020000000000000284e+01,2.451513449517209864e+01,3.741041914613463248e-01
2.030000000000000071e+01,2.467052902422718219e+01,3.755921570972951540e-01
2.040000000000000213e+01,2.467354768535333065e+01,3.809423289469116569e-01
2.050000000000000000e+01,2.478478803093987892e+01,3.807791299002875607e-01
2.060000000000000142e+01,2.486585202792241489e+01,3.798252079518328328e-01
2.070000000000000284e+01,2.496451155521179643e+01,3.814679841477907618e-01
2.080000000000000071e+01,2.499243024321171447e+01,3.821838922437821306e-01
2.090000000000000213e+01,2.510945872387296518e+01,3.870142382048705754e-01
2.100000000000000000e+01,2.520957122329880207e+01,3.879602767546711517e-01
2.110000000000000142e+01,2.524358475499277077e+01,3.905163058550384370e-01
2.120000000000000284e+01,2.533932745956492028e+01,3.904497808939769721e-01
2.130000000000000071e+01,2.548327610660855314e+01,3.929518448990639290e-01
2.140000000000000213e+01,2.559065636070040028e+01,3.954198183800620714e-01
2.150000000000000000e+01,2.565542844947115597e+01,3.979969835325222749e-01
2.160000000000000142e+01,2.566160698853886046e+01,3.995246028467007160e-01
2.170000000000000284e+01,2.577350728105280808e+01,4.014191497614937321e-01
2.180000000000000071e+01,2.584721058231033908e+01,4.026665418981831279e-01
2.190000000000000213e+01,2.594363822930271013e+01,4.047308408513038969e-01
2.200000000000000000e+01,2.595072092717599332e+01,4.049302164674694060e-01
2.210000000000000142e+01,2.609562167271771926e+01,4.074844133318251127e-01
2.220000000000000284e+01,2.617220754761181922e+01,4.070461002482744783e-01
2.230000000000000071e+01,2.627394925178041873e+01,4.093680709008397089e-01
2.240000000000000213e+01,2.630391243223235875e+01,4.111063081570477395e-01
2.250000000000000000e+01,2.639320366298174037e+01,4.107977623467303774e-01
2.260000000000000142e+01,2.654079604941071224e+01,4.123457469994236124e-01
2.270000000000000284e+01,2.666268885432430480e+01,4.155297370365496623e-01
2.280000000000000071e+01,2.684806562786353723e+01,4.190417299507951387e-01
2.290000000000000213e+01,2.695652666720391721e+01,4.191015329691328284e-01
2.300000000000000000e+01,2.702304952512335845e+01,4.225957493554239885e-01
2.310000000000000142e+01,2.716166623098503763e+01,4.234916435798471990e-01
2.320000000000000284e+01,2.726853556742913298e+01,4.240895633370954099e-01
2.330000000000000071e+01,2.734992831500957777e+01,4.251411639987994762e-01
2.340000000000000213e+01,2.738076782730730230e+01,4.268948832747304079e-01
2.350000000000000000e+01,2.744634293163358052e+01,4.283615646414366540e-01
2.360000000000000142e+01,2.753356673452748637e+01,4.288104949298265356e-01
2.370000000000000284e+01,2.752276736249497091e+01,4.303145173878802354e-01
2.380000000000000071e+01,2.752847957305082360e+01,4.319154136697547774e-01
2.390000000000000213e+01,2.753969723085350907e+01,4.323284592468693011e-01
2.400000000000000000e+01,2.777274595961241133e+01,4.348185938731620737e-01
2.410000000000000142e+01,2.787057672889051219e+01,4.368854305465797450e-01
2.420000000000000284e+01,2.796869610801678618e+01,4.361653238501562169e-01
2.430000000000000071e+01,2.811092152140495060e+01,4.353122128201284968e-01
2.440000000000000213e+01,2.822740428001948487e+01,4.353970068517912795e-01
2.450000000000000000e+01,2.832404193222033228e+01,4.350059758317418313e-01
2.460000000000000142e+01,2.834832598180042496e+01,4.362089777749893482e-01
2.470000000000000284e+01,2.843937470605423457e+01,4.368624955218476380e-01
2.480000000000000071e+01,2.850833719226399410e+01,4.389799827418294775e-01
2.490000000000000213e+01,2.866248652471755065e+01,4.393257346563220755e-01
2.500000000000000000e+01,2.875184292059619651e+01,4.371092620291315289e-01
2.510000000000000142e+01,2.890961551601050061e+01,4.378999026307085485e-01
2.520000000000000284e+01,2.906572156993230749e+01,4.360515989663554248e-01
2.530000000000000071e+01,2.919702287667855600e+01,4.372120333293550432e-01
2.540000000000000213e+01,2.933488102069205894e+01,4.368673481042886775e-01
2.550000000000000000e+01,2.943633195957922055e+01,4.369907539636610494e-01
2.560000000000000142e+01,2.955172029998306726e+01,4.408591706946377031e-01
2.570000000000000284e+01,2.965538823275349145e+01,4.449470251682106081e-01
2.580000000000000071e+01,2.980470055305597654e+01,4.421504096094007741e-01
2.590000000000000213e+01,2.998310551968332760e+01,4.413645562678932266e-01
2.600000000000000000e+01,3.005856696184416421e+01,4.432571604824938616e-01
2.610000000000000142e+01,3.017440285629291452e+01,4.438055281229752458e-01
2.620000000000000284e+01,3.027368301030219300e+01,4.475909012290507083e-01
2.630000000000000071e+01,3.034976375038631602e+01,4.493186204058323141e-01
2.640000000000000213e+01,3.045067181409281787e+01,4.477883597925609860e-01
2.650000000000000000e+01,3.059282579035652816e+01,4.532227108474182753e-01
2.660000000000000142e+01,3.065062291015972207e+01,4.532945719228171910e-01
2.670000000000000284e+01,3.079106563839665611e+01,4.538291936193384890e-01
2.680000000000000071e+01,3.097041492701581689e+01,4.565330570754531636e-01
2.690000000000000213e+01,3.106269077485794483e+01,4.572635112290490689e-01
2.700000000000000000e+01,3.118120121301946668e+01,4.584258382500565054e-01
2.710000000000000142e+01,3.143581594171910609e+01,4.586612989511310023e-01
2.720000000000000284e+01,3.163868683933065995e+01,4.614014317750085303e-01
2.730000000000000071e+01,3.181208399124032127e+01,4.635453595723861842e-01
2.740000000000000213e+01,3.188482816303392653e+01,4.658010121204557152e-01
2.750000000000000000e+01,3.205409552041249555e+01,4.675463950572018024e-01
2.760000000000000142e+01,3.225784167710379791e+01,4.704040585737839786e-01
2.770000000000000284e+01,3.239178269944041233e+01,4.717591444530842004e-01
2.780000000000000071e+01,3.253483053550058912e+01,4.755342928346278919e-01
2.790000000000000213e+01,3.270263589021762840e+01,4.765956064246084645e-01
2.800000000000000000e+01,3.284204898766950009e+01,4.788236121374445098e-01
2.810000000000000142e+01,3.290591445415824978e+01,4.785478976559798814e-01
2.820000000000000284e+01,3.307373216534210059e+01,4.806936011481995341e-01
2.830000000000000071e+01,3.324708653374689504e+01,4.793828895967359727e-01
2.840000000000000213e+01,3.334708959913764659e+01,4.807616242168369358e-01
2.850000000000000000e+01,3.344236464369350159e+01,4.834337467502624053e-01
2.860000000000000142e+01,3.354417604202637193e+01,4.824565133186888843e-01
2.870000000000000284e+01,3.369286291667069122e+01,4.811555055321773411e-01
2.880000000000000071e+01,3.387385350976835952e+01,4.812418889003793332e-01
2.890000000000000213e+01,3.399078634723524317e+01,4.810058958152129138e-01
2.900000000000000000e+01,3.409566553849476378e+01,4.826865889160102396e-01
2.910000000000000142e+01,3.430627335457123195e+01,4.844322366096404098e-01
2.920000000000000284e+01,3.445747497900264023e+01,4.857926617343261699e-01
2.930000000000000071e+01,3.459037231971754522e+01,4.890873100774930093e-01
2.940000000000000213e+01,3.468028340613169291e+01,4.870912985625457381e-01
2.950000000000000000e+01,3.487099977921521798e+01,4.886339696236661756e-01
2.960000000000000142e+01,3.495602260074899448e+01,4.866533798356247331e-01
2.970000000000000284e+01,3.513003676833884015e+01,4.868200175751524750e-01
