r_angstrom,gamma23_mean,gamma23_sem
8.200000000000001066e+00,-2.690682549978050675e-01,2.300500063128376294e+00
8.300000000000000711e+00,-3.397135431513089721e-01,2.306194299685933036e+00
8.400000000000000355e+00,-3.421738500903236946e-01,2.314332439340828440e+00
8.500000000000000000e+00,-3.940979613042065455e-01,2.319497651431411178e+00
8.599999999999999645e+00,-4.145926684352786995e-01,2.325763650743279509e+00
8.700000000000001066e+00,-4.318075707009235153e-01,2.333542936491810771e+00
8.800000000000000711e+00,-4.466141925895953380e-01,2.336507941165954616e+00
8.900000000000000355e+00,-5.308235448221774178e-01,2.341215399127180685e+00
9.000000000000000000e+00,-3.815934313054065163e-01,2.349292822211869414e+00
9.099999999999999645e+00,-4.060504050807853815e-01,2.356416569942001438e+00
9.200000000000001066e+00,-5.028092207256078527e-01,2.365736103007053170e+00
9.300000000000000711e+00,-4.829393882838547980e-01,2.372929070490011672e+00
9.400000000000000355e+00,-5.207216007906468880e-01,2.385407340534471565e+00
9.500000000000000000e+00,-6.302206506470038327e-01,2.395720499731623043e+00
9.600000000000001421e+00,-5.576843478520459030e-01,2.405329683845542910e+00
9.700000000000001066e+00,-6.666163036915950801e-01,2.409112418872071615e+00
9.800000000000000711e+00,-7.425375475097868438e-01,2.415050712241634923e+00
9.900000000000000355e+00,-8.257304769996570704e-01,2.422848131956900630e+00
1.000000000000000000e+01,-8.864670352777029860e-01,2.431940159434530013e+00
1.010000000000000142e+01,-8.851779479005312812e-01,2.436881765555803714e+00
1.020000000000000107e+01,-9.170278543101808566e-01,2.443008090849626335e+00
1.030000000000000071e+01,-9.698169942486900563e-01,2.451775355226729403e+00
1.040000000000000036e+01,-1.230757560071888079e+00,2.455885136170147920e+00
1.050000000000000000e+01,-1.340792120497381612e+00,2.463940313457997355e+00
1.060000000000000142e+01,-1.556906603396139621e+00,2.473681049379493846e+00
1.070000000000000107e+01,-1.657915353370834399e+00,2.483577575859094999e+00
1.080000000000000071e+01,-1.778897506206311263e+00,2.493691358743931996e+00
1.090000000000000036e+01,-1.799633740054821462e+00,2.498003929675935542e+00
1.100000000000000000e+01,-2.038238042866219235e+00,2.507446575507319420e+00
1.110000000000000142e+01,-2.159946669495763860e+00,2.515699266327553918e+00
1.120000000000000107e+01,-2.292148776695309476e+00,2.520946614637092242e+00
1.130000000000000071e+01,-2.452511384905653458e+00,2.527008682209761936e+00
1.140000000000000036e+01,-2.802329430449363112e+00,2.537774544983363079e+00
1.150000000000000000e+01,-3.160467859682233094e+00,2.543375956138240745e+00
1.160000000000000142e+01,-3.445503483304742876e+00,2.551980519425881333e+00
1.170000000000000107e+01,-3.615111291037105268e+00,2.556210486414594474e+00
1.180000000000000071e+01,-3.839099883114698741e+00,2.567304241461674241e+00
1.190000000000000036e+01,-4.266866937553189132e+00,2.564668123269116862e+00
1.200000000000000000e+01,-4.575912166855419017e+00,2.574393820951198730e+00
1.210000000000000142e+01,-4.956418694037576067e+00,2.588128503010016068e+00
1.220000000000000107e+01,-5.500987624523368424e+00,2.590809733282282590e+00
1.230000000000000071e+01,-5.928906968436387537e+00,2.600739030428709242e+00
1.240000000000000036e+01,-6.263476067907652656e+00,2.607594320412672140e+00
1.250000000000000000e+01,-6.511860561175431883e+00,2.613283540085575840e+00
1.260000000000000142e+01,-6.856306693532168595e+00,2.619317821605645857e+00
1.270000000000000107e+01,-7.161310943679233709e+00,2.629028165920182847e+00
1.280000000000000071e+01,-7.588043874936586164e+00,2.632413988888893552e+00
1.290000000000000036e+01,-7.861258107859954158e+00,2.643180464212476100e+00
1.300000000000000000e+01,-8.175549908419762701e+00,2.649583524191699624e+00
1.310000000000000142e+01,-8.555238020617444761e+00,2.652219351106705592e+00
1.320000000000000107e+01,-8.954398274165413341e+00,2.660950353859378836e+00
1.330000000000000071e+01,-9.454266473860219122e+00,2.667916488351267823e+00
1.340000000000000036e+01,-9.898471313693148588e+00,2.673248069037965191e+00
1.350000000000000000e+01,-1.029080208988003520e+01,2.682125707765593337e+00
1.360000000000000142e+01,-1.094418778818774030e+01,2.688727852353948844e+00
