r_angstrom,gamma23_mean,gamma23_sem
1.250000000000000000e+01,-3.080908845461623855e+02,1.873096152042809326e+00
1.260000000000000142e+01,-3.085356733740032382e+02,1.883054089688505073e+00
1.270000000000000107e+01,-3.087499238004323843e+02,1.883765949098882952e+00
1.280000000000000071e+01,-3.091608542632336025e+02,1.898966639010612578e+00
1.290000000000000036e+01,-3.095299504080687711e+02,1.909999988207685462e+00
1.300000000000000000e+01,-3.099928767157720699e+02,1.919729321451258075e+00
1.310000000000000142e+01,-3.103695631223391729e+02,1.930759723263991701e+00
1.320000000000000107e+01,-3.106068969251581393e+02,1.937730032636867383e+00
1.330000000000000071e+01,-3.111368738078242586e+02,1.942800463226476149e+00
1.340000000000000036e+01,-3.117234554196406862e+02,1.950386197728764204e+00
1.350000000000000000e+01,-3.119882123705752406e+02,1.964636741896881089e+00
1.360000000000000142e+01,-3.123267415260618804e+02,1.968786861391736087e+00
1.370000000000000107e+01,-3.126399938377353465e+02,1.977575100033360123e+00
1.380000000000000071e+01,-3.129526786481882823e+02,1.986790174588589863e+00
1.390000000000000036e+01,-3.135113240330726967e+02,2.002961381486125791e+00
1.400000000000000000e+01,-3.139082595182024420e+02,2.013570884109932457e+00
1.410000000000000142e+01,-3.142767936321884008e+02,2.027506820984381619e+00
1.420000000000000107e+01,-3.147529745126063858e+02,2.035264070888731958e+00
1.430000000000000071e+01,-3.150401953208240684e+02,2.040979428872907953e+00
1.440000000000000036e+01,-3.154863319164086874e+02,2.050730771725030710e+00
1.450000000000000000e+01,-3.157243971579014215e+02,2.057830191573440715e+00
1.460000000000000142e+01,-3.159926531475698539e+02,2.066791337207112722e+00
1.470000000000000107e+01,-3.165000522595069583e+02,2.080286946768966860e+00
1.480000000000000071e+01,-3.168811473211648604e+02,2.084608495694852515e+00
1.490000000000000036e+01,-3.173262306256253282e+02,2.092636104626749205e+00
1.500000000000000000e+01,-3.175509390106178671e+02,2.099203787692678791e+00
1.510000000000000142e+01,-3.180117220894384218e+02,2.108087434498290502e+00
1.520000000000000107e+01,-3.184674079727701610e+02,2.122703012962949831e+00
1.530000000000000071e+01,-3.186413361794088814e+02,2.128954124507588030e+00
1.540000000000000036e+01,-3.189624698087371826e+02,2.133352646411147635e+00
1.550000000000000000e+01,-3.194942838964657881e+02,2.152051038137142935e+00
1.560000000000000142e+01,-3.198233897174147273e+02,2.164110129221967771e+00
1.570000000000000107e+01,-3.200522529528383870e+02,2.172608245388684800e+00
1.580000000000000071e+01,-3.203339506767781018e+02,2.176613005030482384e+00
1.590000000000000036e+01,-3.207982552684676989e+02,2.183618977644313564e+00
1.600000000000000000e+01,-3.211830864753823107e+02,2.197419932579197432e+00
1.610000000000000142e+01,-3.214954791757066346e+02,2.208703979047881738e+00
1.619999999999999929e+01,-3.217712551414367113e+02,2.211446807109762158e+00
1.630000000000000071e+01,-3.222955049633507656e+02,2.217605782582354745e+00
1.640000000000000213e+01,-3.228098659120078082e+02,2.231688420477683010e+00
1.650000000000000000e+01,-3.233373238195492263e+02,2.249130436309942027e+00
1.660000000000000142e+01,-3.235936457744272161e+02,2.251945549545948833e+00
