r_angstrom,gamma23_mean,gamma23_sem
6.800000000000000711e+00,-1.280401438719157570e+00,3.004118487080522093e-01
6.900000000000000355e+00,-1.359868804138890885e+00,3.011403234691429343e-01
7.000000000000000000e+00,-1.514993426468713933e+00,3.014181513571370652e-01
7.100000000000000533e+00,-1.629148353637109636e+00,3.033102543955700781e-01
7.200000000000000178e+00,-1.787403261507032548e+00,3.044226753628431759e-01
7.300000000000000711e+00,-1.941019280417062065e+00,3.052488662679626041e-01
7.400000000000000355e+00,-2.076800147387419582e+00,3.072752059837399741e-01
7.500000000000000000e+00,-2.245605273326900964e+00,3.075311304118905631e-01
7.600000000000000533e+00,-2.396863457339741821e+00,3.072643957749866539e-01
7.700000000000000178e+00,-2.547670878371333991e+00,3.060035269751120168e-01
7.800000000000000711e+00,-2.721314677103764179e+00,3.058298133380853989e-01
7.900000000000000355e+00,-2.857579072688630095e+00,3.066633289225563774e-01
8.000000000000000000e+00,-3.005194956188227184e+00,3.083001808138116639e-01
8.099999999999999645e+00,-3.150680204574734855e+00,3.101287198204755735e-01
8.200000000000001066e+00,-3.381496994695826430e+00,3.101831174710165118e-01
8.300000000000000711e+00,-3.531174621097137756e+00,3.109609363603158538e-01
8.400000000000000355e+00,-3.719684770599834600e+00,3.129264361562238417e-01
8.500000000000000000e+00,-3.897961348263766723e+00,3.134249844966552900e-01
8.599999999999999645e+00,-4.088670797551962721e+00,3.135763091054957208e-01
8.700000000000001066e+00,-4.229541821034390914e+00,3.142715536869194470e-01
8.800000000000000711e+00,-4.423639922419938308e+00,3.144942737570958213e-01
8.900000000000000355e+00,-4.565981882243787204e+00,3.153195872631898156e-01
9.000000000000000000e+00,-4.688922984881686240e+00,3.156728785067439147e-01
9.099999999999999645e+00,-4.842923759638368963e+00,3.166819927843441684e-01
9.200000000000001066e+00,-5.009953245778546282e+00,3.174430946684270727e-01
9.300000000000000711e+00,-5.140414909906551699e+00,3.189817081865569670e-01
9.400000000000000355e+00,-5.292885444854634081e+00,3.184149989411096948e-01
9.500000000000000000e+00,-5.430031468849613852e+00,3.185615072587738572e-01
9.600000000000001421e+00,-5.628723122534861290e+00,3.192930678221811425e-01
9.700000000000001066e+00,-5.785768132343110715e+00,3.198149101866687438e-01
9.800000000000000711e+00,-5.972275277296606788e+00,3.213119773086366981e-01
9.900000000000000355e+00,-6.129577540532623381e+00,3.204766234125817070e-01
1.000000000000000000e+01,-6.269848366089831870e+00,3.205042137118462864e-01
1.010000000000000142e+01,-6.411925654398094032e+00,3.212740906225141080e-01
1.020000000000000107e+01,-6.584058008319681576e+00,3.219243819667582662e-01
1.030000000000000071e+01,-6.680943049119368204e+00,3.226707149815885023e-01
1.040000000000000036e+01,-6.778446743460919244e+00,3.248738029148142692e-01
1.050000000000000000e+01,-6.938882537937655748e+00,3.261401006765080046e-01
1.060000000000000142e+01,-7.133798822430918563e+00,3.282185216389897353e-01
1.070000000000000107e+01,-7.276894433009847951e+00,3.292254181033101301e-01
