region_type,region_index,chain,axis_x,axis_y,axis_z
3F,1,21,0.6310604252740372,0.5424602706730447,0.5545264595979875
3F,1,41,0.6310604252740372,0.5424602706730447,0.5545264595979875
3F,2,2,0.10785257722795996,0.9493063688872286,0.29527146759453693
3F,2,40,0.10785257722795996,0.9493063688872286,0.29527146759453693
3F,2,49,0.10785257722795996,0.9493063688872286,0.29527146759453693
3F,3,3,-0.5133006427439553,0.6798059074690699,0.5238190320414072
3F,3,33,-0.5133006427439553,0.6798059074690699,0.5238190320414072
3F,3,48,-0.5133006427439553,0.6798059074690699,0.5238190320414072
3F,4,4,-0.3732220671558983,0.1049900636111106,0.921782173363541
3F,4,5,-0.3732220671558983,0.1049900636111106,0.921782173363541
3F,4,32,-0.3732220671558983,0.1049900636111106,0.921782173363541
3F,5,6,-0.656399303583814,-0.4629536597892664,0.595662541328904
3F,5,31,-0.656399303583814,-0.4629536597892664,0.595662541328904
3F,5,56,-0.656399303583814,-0.4629536597892664,0.595662541328904
3F,6,7,-0.12251015091723144,-0.9018226291695258,0.41437568514573947
3F,6,54,-0.12251015091723144,-0.9018226291695258,0.41437568514573947
3F,6,55,-0.12251015091723144,-0.9018226291695258,0.41437568514573947
3F,7,8,0.4890661579546904,-0.6031184195437865,0.6301289274033076
3F,7,23,0.4890661579546904,-0.6031184195437865,0.6301289274033076
3F,7,53,0.4890661579546904,-0.6031184195437865,0.6301289274033076
3F,8,10,-0.3339804178199102,-0.01927338810505977,-0.942382946059504
3F,8,19,-0.3339804178199102,-0.01927338810505977,-0.942382946059504
3F,8,37,-0.3339804178199102,-0.01927338810505977,-0.942382946059504
3F,9,11,-0.49050878309703616,0.6024277180103552,-0.6296681493274857
3F,9,36,-0.49050878309703616,0.6024277180103552,-0.6296681493274857
3F,9,46,-0.49050878309703616,0.6024277180103552,-0.6296681493274857
3F,10,12,0.12199954797155631,0.901878090678571,-0.4144056223661922
3F,10,44,0.12199954797155631,0.901878090678571,-0.4144056223661922
3F,10,45,0.12199954797155631,0.901878090678571,-0.4144056223661922
3F,11,13,0.6547938182086367,0.46720575780877627,-0.5941075959000035
3F,11,28,0.6547938182086367,0.46720575780877627,-0.5941075959000035
3F,11,43,0.6547938182086367,0.46720575780877627,-0.5941075959000035
3F,12,14,0.3760613617733502,-0.10282410928411605,-0.9208718991972237
3F,12,15,0.3760613617733502,-0.10282410928411605,-0.9208718991972237
3F,12,27,0.3760613617733502,-0.10282410928411605,-0.9208718991972237
3F,13,16,0.5155781401857572,-0.6790490662232438,-0.5225624814545495
3F,13,26,0.5155781401857572,-0.6790490662232438,-0.5225624814545495
3F,13,51,0.5155781401857572,-0.6790490662232438,-0.5225624814545495
3F,14,17,-0.10453146892707678,-0.9487751422215278,-0.2981591881972906
3F,14,50,-0.10453146892707678,-0.9487751422215278,-0.2981591881972906
3F,14,59,-0.10453146892707678,-0.9487751422215278,-0.2981591881972906
3F,15,18,-0.6284614917130064,-0.5422152698070896,-0.55770848534148
3F,15,38,-0.6284614917130064,-0.5422152698070896,-0.55770848534148
3F,15,58,-0.6284614917130064,-0.5422152698070896,-0.55770848534148
3F,16,20,0.9701622143389089,0.2423982077682574,0.005327920772852103
3F,16,29,0.9701622143389089,0.2423982077682574,0.005327920772852103
3F,16,42,0.9701622143389089,0.2423982077682574,0.005327920772852103
