r_angstrom,gamma23_mean,gamma23_sem
4.900000000000000355e+00,6.454517929010330501e-01,2.665595277276291419e+00
5.000000000000000000e+00,5.768549561461087105e-01,2.693537889810643904e+00
5.100000000000000533e+00,3.059356857680998742e-01,2.721277971636143711e+00
5.200000000000000178e+00,-8.586403717752866260e-02,2.749741307882119568e+00
5.300000000000000711e+00,-6.813411314116627482e-01,2.774964157202347792e+00
5.400000000000000355e+00,-1.020069229990950177e+00,2.801436721050376999e+00
5.500000000000000000e+00,-1.477744592704931970e+00,2.829141277610219607e+00
5.600000000000000533e+00,-1.842529054100957131e+00,2.861252875863970591e+00
5.700000000000000178e+00,-2.303696738891658935e+00,2.883133298639490860e+00
5.800000000000000711e+00,-2.671414089034237271e+00,2.909182245818127122e+00
5.900000000000000355e+00,-2.995363454013089122e+00,2.931584884001658953e+00
6.000000000000000000e+00,-3.247843121227846019e+00,2.962579892146491645e+00
6.100000000000000533e+00,-3.452509018596090939e+00,2.989941865712900437e+00
6.200000000000000178e+00,-3.651809167824051183e+00,3.015265609327014928e+00
6.300000000000000711e+00,-3.726661457726787141e+00,3.038770923926905176e+00
6.400000000000000355e+00,-3.827165660051567553e+00,3.063991952818672537e+00
6.500000000000000000e+00,-3.989529275476449310e+00,3.091055981468688429e+00
6.600000000000000533e+00,-4.198668743472128817e+00,3.119956103031749084e+00
6.700000000000000178e+00,-4.137664805787198752e+00,3.146009297692086815e+00
6.800000000000000711e+00,-4.157699244013764783e+00,3.171912244381279944e+00
6.900000000000000355e+00,-4.304740859706920553e+00,3.195568231276737059e+00
7.000000000000000000e+00,-4.544751177528958408e+00,3.219387072731310084e+00
7.100000000000000533e+00,-4.665967927262478554e+00,3.241054303220006094e+00
7.200000000000000178e+00,-4.722566926157709233e+00,3.267605044681099358e+00
7.300000000000000711e+00,-4.701901545868970800e+00,3.285570248094745960e+00
7.400000000000000355e+00,-4.723387251775478468e+00,3.312047170727172585e+00
7.500000000000000000e+00,-4.985491102442213496e+00,3.336602008485102466e+00
7.600000000000000533e+00,-5.336823600797453437e+00,3.362220393597360690e+00
7.700000000000000178e+00,-5.564108875246811969e+00,3.390835125279775042e+00
7.800000000000000711e+00,-5.813588691763059479e+00,3.414841394733119984e+00
7.900000000000000355e+00,-6.104097792999494843e+00,3.441214867147023959e+00
8.000000000000000000e+00,-6.463011336063884116e+00,3.464036465962307076e+00
8.099999999999999645e+00,-6.747692973349712631e+00,3.492729521463876718e+00
8.200000000000001066e+00,-7.041254749061657492e+00,3.526398648167141214e+00
8.300000000000000711e+00,-7.325857889950774471e+00,3.559101483478250394e+00
8.400000000000000355e+00,-7.587309471357609247e+00,3.585757627425074201e+00
8.500000000000000000e+00,-7.780060647790232764e+00,3.619288583723926145e+00
8.599999999999999645e+00,-8.122193403863892769e+00,3.650029028423976918e+00
8.700000000000001066e+00,-8.088356993062252087e+00,3.681277765750481379e+00
8.800000000000000711e+00,-8.402283158258619267e+00,3.708464237452583578e+00
8.900000000000000355e+00,-8.572888359419630788e+00,3.731889452765726034e+00
9.000000000000000000e+00,-8.846953209265912221e+00,3.759795282669043726e+00
9.099999999999999645e+00,-9.116917359293569945e+00,3.782417559113760763e+00
9.200000000000001066e+00,-9.510699109387283912e+00,3.812445787952659870e+00
9.300000000000000711e+00,-9.801801566468590465e+00,3.836521948438746499e+00
9.400000000000000355e+00,-1.007838911550428307e+01,3.861813182992533733e+00
9.500000000000000000e+00,-1.039477472956479609e+01,3.894085340356336022e+00
9.600000000000001421e+00,-1.067420774718771170e+01,3.922514184114148428e+00
9.700000000000001066e+00,-1.102477908698281084e+01,3.951009544139297169e+00
9.800000000000000711e+00,-1.134935490871050234e+01,3.979633409438747993e+00
9.900000000000000355e+00,-1.177629787005795947e+01,4.006782530967989864e+00
1.000000000000000000e+01,-1.223424584011535110e+01,4.032890331160444930e+00
1.010000000000000142e+01,-1.260577799268001087e+01,4.058649484637693483e+00
1.020000000000000107e+01,-1.309651156336002842e+01,4.080216010682252481e+00
1.030000000000000071e+01,-1.345306115150800075e+01,4.104796337361649172e+00
1.040000000000000036e+01,-1.393494739901102442e+01,4.129215223315124028e+00
1.050000000000000000e+01,-1.454943390219402843e+01,4.152904451856587187e+00
1.060000000000000142e+01,-1.501571448652765106e+01,4.179387734837918700e+00
1.070000000000000107e+01,-1.549625912078593792e+01,4.202445380624904026e+00
1.080000000000000071e+01,-1.617587419834425688e+01,4.225324456685982000e+00
1.090000000000000036e+01,-1.684530984222910988e+01,4.248470139917624344e+00
1.100000000000000000e+01,-1.737116844668409499e+01,4.271677457599012406e+00
1.110000000000000142e+01,-1.802408908416011357e+01,4.295105546979280930e+00
1.120000000000000107e+01,-1.843268176493835497e+01,4.316402685654670002e+00
1.130000000000000071e+01,-1.927611148437867428e+01,4.341223822058487336e+00
1.140000000000000036e+01,-1.989107340807566260e+01,4.362903355161397378e+00
1.150000000000000000e+01,-2.046329989285910855e+01,4.384203547015815161e+00
1.160000000000000142e+01,-2.116799103878636856e+01,4.402960201824117625e+00
1.170000000000000107e+01,-2.185523011522252546e+01,4.422823783040209733e+00
1.180000000000000071e+01,-2.246503033571421781e+01,4.443331467379884714e+00
1.190000000000000036e+01,-2.325490024541420553e+01,4.461945754292049315e+00
1.200000000000000000e+01,-2.386591907361349385e+01,4.490299633067610152e+00
1.210000000000000142e+01,-2.439346511121433281e+01,4.512632315422984597e+00
1.220000000000000107e+01,-2.505775764012534879e+01,4.537670654501786416e+00
1.230000000000000071e+01,-2.552434847100729698e+01,4.555217662937739220e+00
1.240000000000000036e+01,-2.628781371508920017e+01,4.577817763409977481e+00
1.250000000000000000e+01,-2.706695313221977273e+01,4.604880162592191795e+00
1.260000000000000142e+01,-2.793608881483223172e+01,4.627161674936548508e+00
1.270000000000000107e+01,-2.856874015857946603e+01,4.652250501383756287e+00
1.280000000000000071e+01,-2.923279645167935215e+01,4.671850355889799467e+00
1.290000000000000036e+01,-3.005899951094198741e+01,4.690345815997373435e+00
1.300000000000000000e+01,-3.064306339671830060e+01,4.703667979836319901e+00
1.310000000000000142e+01,-3.143408391032322768e+01,4.715991451490695319e+00
1.320000000000000107e+01,-3.187076150576281464e+01,4.735162321249291928e+00
1.330000000000000071e+01,-3.271364889497377249e+01,4.755692283771168150e+00
1.340000000000000036e+01,-3.343097117718855316e+01,4.779097342812081983e+00
1.350000000000000000e+01,-3.431224171162200776e+01,4.801765349095856728e+00
1.360000000000000142e+01,-3.489637614629045714e+01,4.817087102435403168e+00
1.370000000000000107e+01,-3.553448092425456650e+01,4.836584431601539613e+00
1.380000000000000071e+01,-3.619466756459728884e+01,4.854434844285867356e+00
1.390000000000000036e+01,-3.699660877016788163e+01,4.881082328469521947e+00
1.400000000000000000e+01,-3.753693337305821842e+01,4.900675573047967859e+00
1.410000000000000142e+01,-3.812474395800926885e+01,4.909428383353672487e+00
1.420000000000000107e+01,-3.890718955607657392e+01,4.919483548356059721e+00
1.430000000000000071e+01,-3.960794302439632020e+01,4.935257390260796129e+00
1.440000000000000036e+01,-4.015694555253244857e+01,4.955151840804831842e+00
1.450000000000000000e+01,-4.082037511746475644e+01,4.970029108896782510e+00
1.460000000000000142e+01,-4.147848995952777784e+01,4.985806410429955982e+00
1.470000000000000107e+01,-4.199240076587774695e+01,4.999194905306879377e+00
1.480000000000000071e+01,-4.268126087116541356e+01,5.015829808523371014e+00
1.490000000000000036e+01,-4.315939237387681970e+01,5.029255095605762449e+00
1.500000000000000000e+01,-4.377982829126565889e+01,5.038494593689812007e+00
