==========================================================
PIC calculation (per-residue): SUC
Job: 243   Node: mem-queue-multi-az-dy-r8i-32xl-2   Started: Tue Jul  7 12:31:08 PM EDT 2026
GRO: aav1/md_aav1_ph6/md.gro
XTC: aav1/md_aav1_ph6/md_nojump.xtc
Radius: 30.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 64   CPUs/task: 1
==========================================================
12:31:44 [rank   0] INFO ======================================================================
12:31:53 [rank  20] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  31] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  40] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  40] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  13] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  54] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   4] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  54] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  33] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank   4] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  33] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  61] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  22] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank   6] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  31] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank   6] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  38] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  61] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  33] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  61] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   6] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  27] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  49] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  17] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  15] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  49] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  34] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank   7] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  45] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  47] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  26] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  34] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  34] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  29] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank   7] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  49] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank   7] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   9] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  37] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  36] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  24] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  39] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  26] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  25] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  26] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  50] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  48] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  39] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  25] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  29] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  29] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  24] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  24] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  53] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  56] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  51] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  43] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  39] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  25] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  21] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  21] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  53] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  53] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  51] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  43] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  51] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  43] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   4] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  40] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  54] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  28] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  21] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  13] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  22] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  13] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  22] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  38] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  42] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  38] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  28] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  28] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  61] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  42] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  42] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  22] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  13] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  27] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  38] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  27] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  17] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  17] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  15] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  15] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  45] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  47] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  19] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank   7] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  34] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  45] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  47] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  27] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  17] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank   9] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  37] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  58] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  36] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank   2] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  32] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank   9] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  37] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  36] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  15] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  26] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  19] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  19] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  29] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  48] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  50] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  45] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  47] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  24] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  48] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  12] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  50] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  58] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  58] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   2] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  32] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   2] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  32] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank   9] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  37] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank   1] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  36] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  41] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:31:53 [rank  12] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  12] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  56] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:31:53 [rank  56] INFO [excipient] 165780 atoms grouped into 3684 residues/molecules
12:31:53 [rank  48] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  50] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:31:53 [rank  53] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank   1] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  51] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank   1] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
12:31:53 [rank  43] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:31:53 [rank  41] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
