==========================================================
PIC calculation: SUC
Job: 150   Node: gen-queue-spot-dy-m8i-96xl-1   Started: Wed Jul  1 11:10:10 AM EDT 2026
GRO: aav1/benchmark/md.gro
XTC: aav1/benchmark/md_noPBC.xtc
Radius: 20.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 48   CPUs/task: 4
11:10:38 [rank  29] INFO assigned 42 frames (local index 1218:1260)
11:10:38 [rank  25] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  24] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  13] INFO assigned 42 frames (local index 546:588)
11:10:38 [rank  25] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  25] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  24] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  43] INFO assigned 41 frames (local index 1796:1837)
11:10:38 [rank  24] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  22] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  21] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  22] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  22] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  21] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  31] INFO assigned 42 frames (local index 1302:1344)
11:10:38 [rank  21] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  15] INFO assigned 42 frames (local index 630:672)
11:10:38 [rank  19] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  19] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  19] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank   1] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank   1] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank   1] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank   9] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  42] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank   9] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank   9] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank   0] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  42] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  36] INFO assigned 41 frames (local index 1509:1550)
11:10:38 [rank  42] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank   0] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank   0] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
11:10:38 [rank  12] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
11:10:38 [rank  12] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
