==========================================================
PIC calculation (per-residue): SUC
Job: 171   Node: mem-queue-multi-az-dy-r8i-32xl-1   Started: Wed Jul  1 05:58:49 PM EDT 2026
GRO: aav1/benchmark/md.gro
XTC: aav1/benchmark/md_noPBC.xtc
Radius: 20.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 64   CPUs/task: 1
17:59:24 [rank  55] INFO assigned 31 frames (local index 1722:1753)
17:59:24 [rank  23] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  23] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  63] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  63] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  12] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  12] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  26] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  36] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  26] INFO assigned 31 frames (local index 823:854)
17:59:24 [rank  36] INFO assigned 31 frames (local index 1133:1164)
17:59:24 [rank  46] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  46] INFO assigned 31 frames (local index 1443:1474)
17:59:24 [rank   5] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank   5] INFO assigned 32 frames (local index 160:192)
17:59:24 [rank  15] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  24] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  15] INFO assigned 32 frames (local index 480:512)
17:59:24 [rank  24] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  24] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  53] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  44] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  53] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  53] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  44] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  44] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank   7] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  11] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank   7] INFO assigned 32 frames (local index 224:256)
17:59:24 [rank  60] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  27] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  11] INFO assigned 32 frames (local index 352:384)
17:59:24 [rank  56] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  27] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  27] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  60] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  60] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
17:59:24 [rank  56] INFO assigned 31 frames (local index 1753:1784)
17:59:24 [rank  39] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  39] INFO assigned 31 frames (local index 1226:1257)
17:59:24 [rank  23] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  63] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  12] INFO [protein] 479460 atoms grouped into 31080 residues
17:59:24 [rank  23] INFO assigned 31 frames (local index 730:761)
17:59:24 [rank  63] INFO assigned 31 frames (local index 1970:2001)
17:59:24 [rank  42] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
17:59:24 [rank  12] INFO assigned 32 frames (local index 384:416)
17:59:24 [rank  42] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
