==========================================================
PIC calculation (per-residue): NA
Job: 247   Node: mem-queue-multi-az-dy-r8i-32xl-4   Started: Tue Jul  7 12:48:45 PM EDT 2026
GRO: aav1/md_aav1_ph6/md.gro
XTC: aav1/md_aav1_ph6/md_whole.xtc
Radius: 30.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 64   CPUs/task: 1
12:49:27 [rank  43] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:27 [rank   6] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:27 [rank  55] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:27 [rank  55] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:27 [rank  34] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:49:27 [rank  12] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:49:27 [rank  51] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:49:27 [rank  18] INFO [protein-chain] 478908 atoms grouped into 60 residues/molecules
12:49:27 [rank  42] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:49:27 [rank  42] INFO [excipient] 3633 atoms grouped into 3633 residues/molecules
12:49:27 [rank  13] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:27 [rank  13] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:27 [rank  15] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:27 [rank  15] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:27 [rank   6] INFO [water] 2331522 atoms, mass range 1.008-15.999 amu (OK)
12:49:27 [rank   6] INFO [excipient] 3633 atoms, mass range 22.990-22.990 amu (OK)
12:49:27 [rank  29] INFO [protein] 478908 atoms, mass range 1.008-32.060 amu (OK)
12:49:27 [rank  56] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
12:49:27 [rank  56] INFO [excipient] 3633 atoms grouped into 3633 residues/molecules
12:49:27 [rank  32] INFO [protein] 478908 atoms grouped into 31020 residues/molecules
12:49:27 [rank  17] INFO [water] 2331522 atoms grouped into 777174 residues/molecules
