==========================================================
PIC calculation: SUC
Job: 149   Node: gen-queue-spot-dy-m8i-96xl-1   Started: Wed Jul  1 10:54:20 AM EDT 2026
GRO: aav1/md/md.gro
XTC: aav1/md/md_noPBC.xtc
Radius: 20.0 A   Bin width: 0.1 A   Charge: 0.0
MPI ranks: 48   CPUs/task: 4
10:54:52 [rank  19] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  44] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  19] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  19] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  10] INFO assigned 1 frames (local index 10:11)
10:54:52 [rank  14] INFO assigned 1 frames (local index 14:15)
10:54:52 [rank   9] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank   9] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   9] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  17] INFO assigned 1 frames (local index 17:18)
10:54:52 [rank  26] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank   6] INFO assigned 1 frames (local index 6:7)
10:54:52 [rank  26] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  26] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  42] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  39] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  42] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  42] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  33] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  37] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank  39] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank   5] INFO assigned 1 frames (local index 5:6)
10:54:52 [rank  39] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  21] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank  33] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  33] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  21] INFO [water] 1434384 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  21] INFO [excipient] 165780 atoms, mass range 1.008-15.999 amu (OK)
10:54:52 [rank  43] INFO assigned 0 frames (local index 21:21)
10:54:52 [rank   0] INFO protein atoms=479460  water molecules=478128  SUC molecules=3684
10:54:52 [rank  32] INFO [protein] 479460 atoms, mass range 1.008-32.060 amu (OK)
10:54:52 [rank   0] INFO trajectory frames: 21 total, 21 selected (stride=1, max_frames=None)
10:54:52 [rank   0] INFO assigned 1 frames (local index 0:1)
10:54:52 [rank  15] INFO assigned 1 frames (local index 15:16)
10:54:52 [rank   4] INFO assigned 1 frames (local index 4:5)
