r_center_A,na_per_frame,cl_per_frame,net_charge_per_frame,cum_counter_charge_Q_e
3.1750000000000003,0.11377245508982035,44.3253493013972,-44.21157684630739,-144.5748502994012
3.225,0.15169660678642716,36.672654690618764,-36.52095808383233,-181.09580838323353
3.2750000000000004,0.16367265469061876,27.087824351297407,-26.924151696606785,-208.0199600798403
3.325,0.16167664670658682,19.582834331337324,-19.42115768463074,-227.44111776447104
3.375,0.21157684630738524,14.121756487025948,-13.910179640718562,-241.3512974051896
3.4250000000000003,0.2874251497005988,10.217564870259482,-9.930139720558882,-251.28143712574848
3.475,0.35528942115768464,7.6626746506986025,-7.307385229540918,-258.5888223552894
3.5250000000000004,0.5069860279441117,6.283433133732535,-5.7764471057884235,-264.3652694610778
3.575,0.6506986027944112,5.30938123752495,-4.658682634730539,-269.02395209580834
3.625,0.780439121756487,5.2155688622754495,-4.4351297405189625,-273.4590818363273
3.6750000000000003,1.0778443113772456,4.83433133732535,-3.7564870259481036,-277.2155688622754
3.725,1.2954091816367266,4.738522954091817,-3.44311377245509,-280.6586826347305
3.7750000000000004,1.5728542914171657,4.812375249500998,-3.2395209580838324,-283.89820359281435
3.825,1.996007984031936,5.311377245508982,-3.315369261477046,-287.2135728542914
3.875,2.435129740518962,5.497005988023952,-3.06187624750499,-290.27544910179637
3.9250000000000003,2.780439121756487,5.700598802395209,-2.9201596806387227,-293.1956087824351
3.975,3.1736526946107784,5.718562874251497,-2.5449101796407185,-295.74051896207584
4.025,3.68063872255489,6.157684630738523,-2.4770459081836327,-298.2175648702595
4.075,3.9860279441117763,6.502994011976048,-2.5169660678642716,-300.7345309381237
4.125,4.37125748502994,7.005988023952096,-2.6347305389221556,-303.3692614770459
4.175000000000001,4.588822355289421,6.93812375249501,-2.349301397205589,-305.71856287425146
4.225,4.726546906187624,7.209580838323354,-2.4830339321357284,-308.2015968063872
4.275,5.129740518962076,7.349301397205589,-2.219560878243513,-310.4211576846307
4.325,5.193612774451098,7.658682634730539,-2.465069860279441,-312.8862275449101
4.375,5.201596806387226,7.497005988023952,-2.2954091816367264,-315.18163672654686
4.425000000000001,5.401197604790419,7.612774451097804,-2.211576846307385,-317.3932135728542
4.475,5.37125748502994,7.632734530938124,-2.2614770459081837,-319.6546906187624
4.525,5.377245508982036,7.243512974051896,-1.8662674650698603,-321.5209580838323
4.575,5.295409181636726,7.3053892215568865,-2.0099800399201597,-323.53093812375243
4.625,4.998003992015968,7.007984031936128,-2.0099800399201597,-325.5409181636726
4.675000000000001,4.994011976047904,6.656686626746507,-1.6626746506986028,-327.2035928143712
4.725,4.780439121756487,6.716566866267465,-1.9361277445109781,-329.1397205588822
4.775,4.612774451097804,6.700598802395209,-2.0878243512974053,-331.2275449101796
4.825000000000001,4.265469061876248,6.339321357285429,-2.0738522954091816,-333.3013972055887
4.875,4.097804391217565,6.1337325349301395,-2.035928143712575,-335.3373253493013
4.925000000000001,3.7564870259481036,5.83433133732535,-2.0778443113772456,-337.41516966067854
4.975,3.532934131736527,5.838323353293413,-2.305389221556886,-339.7205588822354
5.025,3.273453093812375,5.5489021956087825,-2.2754491017964074,-341.99600798403185
5.075000000000001,2.9940119760479043,5.608782435129741,-2.614770459081836,-344.6107784431137
5.125,2.802395209580838,5.357285429141717,-2.5548902195608783,-347.1656686626746
5.175000000000001,2.5049900199600796,5.409181636726547,-2.904191616766467,-350.06986027944106
5.225,2.349301397205589,5.041916167664671,-2.6926147704590817,-352.76247504990016
5.275,2.4191616766467066,5.225548902195609,-2.806387225548902,-355.5688622754491
5.325000000000001,2.255489021956088,5.029940119760479,-2.7744510978043913,-358.34331337325347
5.375,2.2435129740518964,4.968063872255489,-2.7245508982035926,-361.06786427145704
5.425000000000001,2.18562874251497,5.043912175648702,-2.8582834331337326,-363.9261477045908
5.475,2.24750499001996,4.778443113772455,-2.530938123752495,-366.4570858283433
5.525,2.07185628742515,4.74251497005988,-2.6706586826347305,-369.127744510978
5.575000000000001,2.179640718562874,4.614770459081837,-2.435129740518962,-371.56287425149696
5.625,2.399201596806387,4.682634730538922,-2.283433133732535,-373.8463073852295
5.675000000000001,2.2534930139720557,4.49500998003992,-2.241516966067864,-376.0878243512974
5.725,2.345309381237525,4.7445109780439125,-2.399201596806387,-378.4870259481038
5.775,2.499001996007984,4.473053892215569,-1.9740518962075848,-380.4610778443114
5.825000000000001,2.437125748502994,4.419161676646707,-1.9820359281437125,-382.4431137724551
5.875,2.55688622754491,4.3453093812375245,-1.7884231536926147,-384.2315369261477
5.925000000000001,2.5988023952095807,4.417165668662674,-1.818363273453094,-386.0499001996008
5.975,2.6107784431137726,4.49500998003992,-1.8842315369261478,-387.934131736527
6.025,2.6347305389221556,4.437125748502994,-1.8023952095808384,-389.7365269461078
6.075000000000001,2.6107784431137726,4.680638722554891,-2.0698602794411176,-391.8063872255489
6.125,2.8043912175648704,4.530938123752495,-1.7265469061876249,-393.53293413173657
6.175000000000001,2.788423153692615,4.630738522954092,-1.842315369261477,-395.37524950099805
6.225,2.776447105788423,4.528942115768463,-1.7524950099800398,-397.1277445109781
6.275,3.0818363273453095,4.632734530938124,-1.5508982035928143,-398.6786427145709
6.325000000000001,2.970059880239521,4.6467065868263475,-1.6766467065868262,-400.35528942115775
6.375,2.932135728542914,4.80439121756487,-1.872255489021956,-402.2275449101797
6.425000000000001,3.0838323353293413,4.650698602794411,-1.56686626746507,-403.79441117764475
6.475,3.0479041916167664,4.844311377245509,-1.7964071856287425,-405.5908183632735
6.525,3.0818363273453095,4.852295409181637,-1.7704590818363273,-407.36127744510986
6.575000000000001,3.129740518962076,4.88622754491018,-1.7564870259481038,-409.11776447105797
6.625,3.0798403193612773,5.005988023952096,-1.9261477045908184,-411.0439121756488
6.675000000000001,3.1117764471057883,4.922155688622754,-1.8103792415169662,-412.85429141716577
6.725,3.165668662674651,4.888223552894211,-1.7225548902195609,-414.5768463073853
6.775,3.0758483033932134,4.758483033932135,-1.6826347305389222,-416.2594810379243
6.825000000000001,3.1397205588822357,4.6546906187624755,-1.5149700598802396,-417.7744510978045
6.875,3.187624750499002,4.720558882235529,-1.532934131736527,-419.307385229541
6.925000000000001,3.3233532934131738,4.908183632734531,-1.5848303393213572,-420.89221556886235
6.975,3.151696606786427,4.836327345309381,-1.6846307385229542,-422.5768463073853
7.025,3.4151696606786426,4.3373253493013975,-0.9221556886227545,-423.4990019960081
7.075000000000001,3.1736526946107784,4.465069860279441,-1.2914171656686626,-424.79041916167677
7.125,3.143712574850299,4.343313373253493,-1.1996007984031936,-425.99001996007996
7.175000000000001,3.153692614770459,4.4271457085828345,-1.2734530938123751,-427.2634730538923
