r_angstrom,gamma23_mean,gamma23_sem
6.000000000000000000e+00,-1.566091414831258817e+02,7.219175833414053223e-01
6.100000000000000533e+00,-1.577289386667091833e+02,7.068486865450911427e-01
6.200000000000000178e+00,-1.586746988923460435e+02,6.965221811036360622e-01
6.300000000000000711e+00,-1.596016948210203168e+02,6.907320182196149405e-01
6.400000000000000355e+00,-1.603957519143338288e+02,6.814815078685266814e-01
6.500000000000000000e+00,-1.613198247388174877e+02,6.702254312879482034e-01
6.600000000000000533e+00,-1.622094559008925216e+02,6.644410188418902186e-01
6.700000000000000178e+00,-1.631111719001328879e+02,6.552403874451111498e-01
6.800000000000000711e+00,-1.639514600136584193e+02,6.519209737013134109e-01
6.900000000000000355e+00,-1.648440837719983563e+02,6.444574546137198379e-01
7.000000000000000000e+00,-1.656016844765812266e+02,6.410119107500573676e-01
7.100000000000000533e+00,-1.665207458799082190e+02,6.383170331955499988e-01
7.200000000000000178e+00,-1.673006267906675362e+02,6.363258433697513983e-01
7.300000000000000711e+00,-1.681914281612628770e+02,6.332646090978750752e-01
7.400000000000000355e+00,-1.690008762200304773e+02,6.369267603994047677e-01
7.500000000000000000e+00,-1.698791956370663456e+02,6.348008820276133113e-01
7.600000000000000533e+00,-1.706194804070653959e+02,6.393595286565183500e-01
7.700000000000000178e+00,-1.714197272753472419e+02,6.410981283575355461e-01
7.800000000000000711e+00,-1.723816046877851704e+02,6.517119961164424824e-01
7.900000000000000355e+00,-1.731824832497236457e+02,6.570106722034815272e-01
8.000000000000000000e+00,-1.739708797220173437e+02,6.619422430183412587e-01
8.099999999999999645e+00,-1.747307482973731680e+02,6.664303421814476991e-01
8.200000000000001066e+00,-1.755335768832384815e+02,6.752924510819054982e-01
8.300000000000000711e+00,-1.762036037710031167e+02,6.798046389267147216e-01
8.400000000000000355e+00,-1.768091100416133088e+02,6.807653990236676167e-01
8.500000000000000000e+00,-1.774901198160803517e+02,6.879928226727036744e-01
8.599999999999999645e+00,-1.782309387534807854e+02,6.938923251001075654e-01
8.700000000000001066e+00,-1.789182194075977463e+02,7.028006921722632638e-01
8.800000000000000711e+00,-1.796020451388147308e+02,7.061961080294173465e-01
8.900000000000000355e+00,-1.803474925268360778e+02,7.101100826825516021e-01
9.000000000000000000e+00,-1.811373619261987642e+02,7.156226736072915928e-01
9.099999999999999645e+00,-1.817070573386201602e+02,7.217651667814821703e-01
9.200000000000001066e+00,-1.822121072345659343e+02,7.330202963784161474e-01
9.300000000000000711e+00,-1.825839227651984231e+02,7.322087465372758563e-01
9.400000000000000355e+00,-1.831185279038246563e+02,7.372107828198387613e-01
9.500000000000000000e+00,-1.835499145434773993e+02,7.412126295473114856e-01
9.600000000000001421e+00,-1.839574527050359052e+02,7.494566501824463378e-01
9.700000000000001066e+00,-1.844666561823943880e+02,7.578183907338230663e-01
9.800000000000000711e+00,-1.849072424704156674e+02,7.695525523259029166e-01
9.900000000000000355e+00,-1.853590014944489610e+02,7.808157146713515795e-01
1.000000000000000000e+01,-1.856279477591200475e+02,7.855298415196851902e-01
1.010000000000000142e+01,-1.861356908641067776e+02,7.989202428362044417e-01
1.020000000000000107e+01,-1.865409621914394620e+02,8.094326029201823758e-01
1.030000000000000071e+01,-1.870243545555635762e+02,8.181281912842033321e-01
1.040000000000000036e+01,-1.875186869904334515e+02,8.246930561967426021e-01
1.050000000000000000e+01,-1.879166874738183708e+02,8.239520809973515103e-01
1.060000000000000142e+01,-1.884641538933101970e+02,8.344297666318647444e-01
1.070000000000000107e+01,-1.890845219279056550e+02,8.439861720315375848e-01
1.080000000000000071e+01,-1.895833122917613878e+02,8.495182295691622310e-01
1.090000000000000036e+01,-1.899807525468224014e+02,8.538546655521701556e-01
