r_angstrom,s30mM_1pct_pH6_gamma23_mean,s30mM_1pct_pH6_SE_raw,s30mM_1pct_pH6_SE_corrected_x8.5,s30mM_1pct_pH8_gamma23_mean,s30mM_1pct_pH8_SE_raw,s30mM_1pct_pH8_SE_corrected_x8.5,s30mM_10pct_pH6_gamma23_mean,s30mM_10pct_pH6_SE_raw,s30mM_10pct_pH6_SE_corrected_x8.5,s30mM_10pct_pH8_gamma23_mean,s30mM_10pct_pH8_SE_raw,s30mM_10pct_pH8_SE_corrected_x8.5,s200mM_1pct_pH6_gamma23_mean,s200mM_1pct_pH6_SE_raw,s200mM_1pct_pH6_SE_corrected_x8.5,s200mM_1pct_pH8_gamma23_mean,s200mM_1pct_pH8_SE_raw,s200mM_1pct_pH8_SE_corrected_x8.5,s200mM_10pct_pH6_gamma23_mean,s200mM_10pct_pH6_SE_raw,s200mM_10pct_pH6_SE_corrected_x8.5,s200mM_10pct_pH8_gamma23_mean,s200mM_10pct_pH8_SE_raw,s200mM_10pct_pH8_SE_corrected_x8.5
4.4,8.70873,0.41273,3.50821,-0.35627,0.21894,1.86100,-0.14546,1.88823,16.04999,-46.22962,1.70364,14.48094,5.84031,0.30522,2.59438,-2.94328,0.23463,1.99440,26.57216,2.20152,18.71292,-38.15419,1.53027,13.00727
4.5,8.89113,0.41685,3.54322,-0.34127,0.22014,1.87117,0.95015,1.90680,16.20781,-45.78804,1.72084,14.62712,5.88912,0.30705,2.60991,-2.88229,0.23488,1.99647,27.53321,2.21677,18.84258,-37.17945,1.54499,13.13246
4.6,8.97708,0.41927,3.56382,-0.33953,0.22289,1.89458,1.60148,1.92299,16.34538,-45.70477,1.72980,14.70333,5.89367,0.30912,2.62754,-2.87101,0.23546,2.00138,28.24557,2.22962,18.95181,-36.71685,1.55808,13.24364
4.7,8.98625,0.42236,3.59006,-0.34501,0.22429,1.90648,2.10302,1.94150,16.50272,-45.97071,1.74730,14.85208,5.89767,0.31047,2.63900,-2.83971,0.23635,2.00897,28.63514,2.24149,19.05267,-36.60644,1.56964,13.34192
4.8,9.01023,0.42663,3.62631,-0.35782,0.22439,1.90728,2.26607,1.95688,16.63349,-46.24573,1.75832,14.94568,5.83986,0.31105,2.64392,-2.83438,0.23807,2.02363,28.82752,2.25306,19.15099,-36.64302,1.58010,13.43085
4.9,9.06399,0.43057,3.65983,-0.38978,0.22619,1.92260,2.30837,1.96917,16.73793,-46.71420,1.77578,15.09412,5.78398,0.31328,2.66289,-2.90342,0.23796,2.02270,28.83796,2.26297,19.23522,-36.82567,1.59027,13.51730
5.0,9.02947,0.43339,3.68381,-0.42721,0.22825,1.94014,2.09039,1.97797,16.81271,-47.28237,1.78910,15.20734,5.71228,0.31414,2.67017,-2.98391,0.23752,2.01892,28.62335,2.27151,19.30787,-37.18633,1.59775,13.58091
5.1,9.04399,0.43754,3.71906,-0.49107,0.22890,1.94565,2.03412,1.99130,16.92601,-47.96261,1.80480,15.34079,5.63743,0.31494,2.67700,-3.08044,0.23798,2.02279,28.37500,2.28117,19.38995,-37.60942,1.60470,13.63997
5.2,9.03525,0.43939,3.73478,-0.55417,0.23054,1.95958,1.82660,2.00568,17.04828,-48.64542,1.81616,15.43736,5.51668,0.31676,2.69250,-3.11845,0.23890,2.03068,27.93325,2.29010,19.46589,-38.25994,1.60948,13.68058
5.3,8.98946,0.44170,3.75443,-0.60303,0.23272,1.97816,1.44259,2.02106,17.17900,-49.51952,1.83018,15.55656,5.41246,0.31886,2.71033,-3.24539,0.23920,2.03318,27.52811,2.29846,19.53688,-38.94159,1.61958,13.76647
