distance_from_surface_A,pH6_30mM_1pct,pH6_30mM_10pct,pH6_30mM_12pct,pH6_110mM_8pct,pH6_200mM_1pct,pH6_200mM_10pct,pH7.3_30mM_12pct,pH7.3_170mM_5pct,pH8_30mM_1pct,pH8_30mM_10pct,pH8_200mM_1pct,pH8_200mM_10pct
7.475,-321.691,-317.629,-314.635,-395.595,-447.265,-433.806,123.992,183.345,307.85,302.78,418.661,411.786
7.525,-322.627,-318.641,-315.565,-396.469,-448.403,-434.948,124.553,184.351,309.038,303.842,420.11,413.647
7.575,-323.519,-319.611,-316.423,-397.459,-449.283,-435.721,125.124,185.23,310.267,304.986,421.583,415.092
7.625,-324.319,-320.577,-317.363,-398.385,-450.128,-436.739,125.758,186.136,311.473,306.034,423.234,416.868
7.675,-325.104,-321.505,-318.216,-399.176,-451.076,-437.593,126.457,187.04,312.681,307.14,424.571,418.259
7.725,-325.952,-322.337,-319.1,-399.962,-451.986,-438.393,127.118,187.952,313.812,308.19,426.026,419.968
7.775,-326.812,-323.21,-320.034,-400.838,-452.749,-439.16,127.699,188.774,315.008,309.263,427.242,421.573
7.825,-327.713,-324.072,-320.938,-401.822,-453.445,-439.988,128.289,189.591,316.172,310.381,428.651,423.026
7.875,-328.531,-324.884,-321.822,-402.631,-454.335,-440.788,128.838,190.541,317.21,311.407,430.168,424.535
7.925,-329.349,-325.709,-322.575,-403.553,-454.9,-441.511,129.441,191.335,318.208,312.417,431.513,425.816
7.975,-330.18,-326.631,-323.451,-404.343,-455.621,-442.128,130.022,192.17,319.261,313.449,432.711,427.2
8.025,-330.916,-327.395,-324.299,-405.144,-456.537,-442.739,130.715,192.938,320.397,314.553,434.006,428.627
8.075,-331.828,-328.164,-325.15,-405.954,-457.202,-443.471,131.279,193.988,321.415,315.571,435.279,430.014
8.125,-332.615,-328.99,-325.948,-406.715,-457.832,-444.146,132.026,194.794,322.477,316.585,436.447,431.403
8.175,-333.417,-329.77,-326.719,-407.429,-458.429,-444.898,132.649,195.509,323.603,317.705,437.874,432.485
8.225,-334.206,-330.597,-327.583,-408.218,-459.016,-445.721,133.228,196.283,324.567,318.725,439.172,433.657
8.275,-334.944,-331.401,-328.439,-409.082,-459.91,-446.351,133.882,197.088,325.513,319.713,440.315,434.994
8.325,-335.667,-332.263,-329.281,-409.962,-460.701,-447.142,134.447,197.93,326.491,320.591,441.337,436.152
8.375,-336.523,-333.028,-330.072,-410.89,-461.224,-447.782,135.032,198.729,327.611,321.629,442.443,437.401
8.425,-337.303,-333.834,-330.764,-411.603,-462.004,-448.663,135.631,199.505,328.643,322.579,443.653,438.657
8.475,-338.086,-334.585,-331.623,-412.399,-462.691,-449.501,136.128,200.206,329.699,323.429,444.83,439.703
8.525,-338.764,-335.355,-332.435,-413.255,-463.533,-450.449,136.627,200.956,330.657,324.313,445.944,440.878
8.575,-339.491,-336.244,-333.423,-413.962,-463.882,-451.126,137.17,201.76,331.609,325.244,446.86,441.747
8.625,-340.248,-337.046,-334.138,-414.693,-464.743,-451.852,137.635,202.369,332.587,326.2,448.178,442.804
8.675,-341.054,-337.741,-334.904,-415.587,-465.259,-452.271,138.074,203.042,333.511,327.062,449.152,443.81
8.725,-341.816,-338.489,-335.772,-416.329,-466.18,-453.176,138.651,203.679,334.481,327.96,450.15,444.936
8.775,-342.591,-339.257,-336.537,-417.03,-466.878,-453.9,139.261,204.321,335.297,328.838,451.154,445.824
8.825,-343.309,-339.964,-337.24,-417.868,-467.87,-454.701,139.824,204.936,336.112,329.741,451.79,446.812
8.875,-344.08,-340.723,-338.044,-418.583,-468.727,-455.511,140.473,205.208,337.012,330.629,452.555,447.892
8.925,-344.866,-341.497,-338.862,-419.421,-469.325,-456.13,140.996,205.788,337.818,331.595,453.553,448.776
8.975,-345.631,-342.337,-339.762,-420.321,-470.028,-457.03,141.623,206.367,338.569,332.429,454.423,449.762
9.025,-346.301,-343.096,-340.545,-421.07,-470.948,-457.802,142.104,207.008,339.473,333.25,455.345,450.513
9.075,-347.084,-343.908,-341.345,-421.719,-471.551,-458.784,142.567,207.565,340.355,334.176,456.21,451.361
9.125,-347.892,-344.589,-342.12,-422.559,-472.323,-459.571,142.994,208.026,341.297,335.006,457.004,452.224
9.175,-348.756,-345.347,-342.926,-423.351,-473.068,-460.531,143.471,208.635,342.152,335.752,457.998,453.116
9.225,-349.447,-346.184,-343.667,-424.11,-473.996,-461.188,143.994,209.076,343.128,336.551,458.78,453.91
9.275,-350.176,-346.972,-344.447,-424.934,-474.681,-461.884,144.435,209.357,343.982,337.389,459.749,454.661
9.325,-350.864,-347.762,-345.265,-425.735,-475.22,-462.471,144.894,209.798,344.776,338.18,460.505,455.246
9.375,-351.601,-348.497,-345.918,-426.617,-476.112,-463.248,145.409,210.363,345.669,338.956,461.327,456.018
9.425,-352.337,-349.25,-346.743,-427.303,-476.838,-463.968,145.882,210.749,346.475,339.906,462.162,456.918
9.475,-353.146,-350.038,-347.485,-428.12,-477.541,-464.365,146.343,211.106,347.293,340.701,462.818,457.651
9.525,-353.852,-350.844,-348.194,-428.814,-478.22,-465.196,146.864,211.673,348.16,341.453,463.655,458.435
9.575,-354.541,-351.615,-348.866,-429.585,-478.776,-465.86,147.303,212.066,348.948,342.281,464.226,459.277
9.625,-355.257,-352.403,-349.663,-430.263,-479.515,-466.563,147.756,212.657,349.76,343.12,465.062,460.142
9.675,-355.884,-353.176,-350.433,-431.048,-480.022,-467.389,148.178,213.128,350.489,343.876,465.745,460.912
9.725,-356.537,-353.862,-351.056,-431.792,-480.683,-468.293,148.693,213.471,351.315,344.669,466.557,461.709
9.775,-357.148,-354.531,-351.731,-432.527,-481.433,-469.106,149.23,214.236,352.14,345.471,466.974,462.387
9.825,-357.806,-355.2,-352.349,-433.242,-481.996,-469.723,149.766,214.812,352.862,346.255,467.575,463.144
9.875,-358.451,-355.942,-353.084,-433.713,-482.687,-470.22,150.216,215.287,353.659,347.012,468.046,463.984
9.925,-359.118,-356.617,-353.776,-434.333,-483.2,-470.834,150.747,215.617,354.389,347.741,468.579,464.561
9.975,-359.675,-357.349,-354.465,-434.99,-483.743,-471.405,151.283,215.918,355.305,348.543,469.333,465.283
