r_A,pH6_200_10_3F,pH6_200_10_3F_sem,pH6_200_10_5F,pH6_200_10_5F_sem,pH6_30_12_3F,pH6_30_12_3F_sem,pH6_30_12_5F,pH6_30_12_5F_sem,pH6_110_8_3F,pH6_110_8_3F_sem,pH6_110_8_5F,pH6_110_8_5F_sem,pH73_170_5_3F,pH73_170_5_3F_sem,pH73_170_5_5F,pH73_170_5_5F_sem
2.9000000000000004,-0.04117317224046528,0.000929827445088658,-0.04522491008062766,0.002652458666446713,-0.05304338087350038,0.0010082896631918052,-0.06766600260942067,0.002365447502285415,-0.03474799649367622,0.0007238564850777984,-0.024521328793551487,0.0025099375074683775,-0.02066248268664041,0.000556752057408041,-0.026386191265798185,0.0012961973337898103
3.0,-0.04186145234384996,0.0009778440434655127,-0.04471691843200943,0.0028024577296154934,-0.054090027639535895,0.001058303341371051,-0.06802676535590843,0.0025081230145036796,-0.035367806941377235,0.0007598311102122741,-0.02291626591132694,0.0026549810233273572,-0.021004722999622485,0.0005862400283487263,-0.026304247763566487,0.0013897541412360255
3.1,-0.042539866361829104,0.0010274596571459172,-0.04390737205397762,0.002957618036320099,-0.055125324287037945,0.001110168142361559,-0.06831694102588527,0.002657749419951453,-0.03594463714272772,0.0007980054238051329,-0.021230452460535454,0.0028076134715605207,-0.0213241074455389,0.000617212591159294,-0.02604920908482382,0.0014918064166779365
3.2,-0.04321585263940354,0.0010799730459923017,-0.0430447731747028,0.003115930143285658,-0.05611721213467697,0.0011640182230356001,-0.06850068019545125,0.0028101898912017914,-0.03650286536565339,0.000837673557958441,-0.019309972152914072,0.0029645923212388453,-0.02161495961793902,0.0006494515497204057,-0.025730849091793705,0.0015957254218283282
3.3000000000000003,-0.04384343797177199,0.0011332956243977046,-0.042244618078093446,0.0032744728634028033,-0.05710852143618752,0.0012196263460568868,-0.06861847025334433,0.0029662292420367317,-0.03707370846098608,0.000878321053681311,-0.017326717567477605,0.0031241460225838267,-0.021921704741074893,0.0006826561080664007,-0.025385165995520025,0.0017014057420102382
3.4000000000000004,-0.04446160655265037,0.0011878917437372744,-0.04127337036152526,0.0034334663370137164,-0.05806518389430374,0.0012778363794464654,-0.06855593720949915,0.00312789264910203,-0.037632173021204744,0.0009205385360439328,-0.015237090425169927,0.0032937976238559615,-0.022214947091693835,0.0007170699556363027,-0.025044722510794478,0.0018072216129158096
3.5,-0.04504106649819948,0.0012456527878652675,-0.04037798570151625,0.0035936499907647506,-0.0590510389266899,0.0013380335117421148,-0.06850309294116373,0.003291930228117703,-0.03821330995204959,0.000963404575224294,-0.013014473563160253,0.003462351967037891,-0.022484863233762916,0.0007527099212654742,-0.024734835703283206,0.0019116068859770484
3.6,-0.04565754026003237,0.001304662667665527,-0.039407400521295086,0.0037543393650059974,-0.060015061269543576,0.0014004139134912697,-0.06843077965549824,0.0034557445581327425,-0.038773686203792165,0.001007170516487551,-0.010775281698054315,0.003630221903239059,-0.022782102405047147,0.0007882341136161581,-0.024419147949040237,0.002019012351342418
3.7,-0.04629856839589998,0.0013645756643282522,-0.03845333695909989,0.003915777644424055,-0.06103681415252942,0.0014643005399701248,-0.06827115764715294,0.0036227540107522005,-0.039371616052079644,0.00105161182803982,-0.008538308249683815,0.0037949616358287845,-0.023086023359593786,0.0008256326524966603,-0.024061601877436757,0.0021303358256214737
3.8000000000000003,-0.046947331381542876,0.0014265142370086783,-0.03755155912659427,0.004074957409667378,-0.06211355811230518,0.0015299122458251886,-0.06820338816344679,0.003789585329267919,-0.03998206038805904,0.0010967944226796234,-0.00629134951725193,0.003958985193777343,-0.023415105749558476,0.0008634256448089784,-0.023825062552748466,0.0022349788544024606
3.9000000000000004,-0.04761820667754373,0.0014895280072406436,-0.03661749874149643,0.004232986064478449,-0.06327729715109771,0.0015963055564031825,-0.06816166153419696,0.003954584554117544,-0.04065419998348741,0.0011415274565959677,-0.004100248189629014,0.004119880473360431,-0.02374341022345184,0.0009021033380511913,-0.02359823607571505,0.0023416199397965015
4.0,-0.04837250338621944,0.0015514182362701139,-0.035743763244085756,0.004392880864839545,-0.06451701484374087,0.0016634141622492648,-0.06834835720850442,0.00412034573374408,-0.041396326796594135,0.0011870575338720963,-0.0017902682133458237,0.0042792385236206714,-0.02410694414726835,0.0009406578086315812,-0.02351421351097373,0.0024448329282370004
4.1000000000000005,-0.04919394220850567,0.0016140107717275837,-0.03488753381139595,0.004555598027595015,-0.0658312734337379,0.0017304610209063456,-0.06860056441452377,0.004283937337798979,-0.04217578682046578,0.0012324768834989848,0.0004899852944447998,0.0044381141411395375,-0.024526402816875105,0.0009788949774286804,-0.023442965122958903,0.002544795207144258
4.2,-0.05010319162909011,0.0016763108448058217,-0.03412171421687412,0.004718990637842948,-0.06725752450058912,0.0017971429067293063,-0.06889109075173319,0.004448766004350199,-0.04304803386332848,0.0012766213480978493,0.002743446472158804,0.004595363186823812,-0.02497124776607497,0.0010171785513070864,-0.02344230027266537,0.0026435162723059315
4.3,-0.05110805106254049,0.0017384417208710216,-0.03337831270688048,0.004882508867158008,-0.0687173649430434,0.0018644807616321906,-0.06939932393960074,0.00461126735837482,-0.044013332134601554,0.001319634373796446,0.004995462154145278,0.004754291663161359,-0.02546183571715213,0.001055864774531133,-0.023471783541385547,0.0027410227149052024
4.4,-0.0522459842781077,0.0017998665713240744,-0.032851839671796466,0.005042800999978413,-0.07028790497535606,0.0019311830634482646,-0.06986811659913522,0.004775881769547135,-0.04500621089023977,0.0013630326065605031,0.0070865098542863105,0.004906834032349989,-0.026016398763564947,0.0010934816950955708,-0.023565791557362416,0.0028371964698579175
4.5,-0.05343123963572284,0.0018616921312839265,-0.03239162304196747,0.00520477492143286,-0.07199965920117465,0.001995765040940444,-0.07057388499030305,0.004940994008356385,-0.046093781534138616,0.0014053221335088367,0.009067216053819568,0.005058002113689172,-0.026615014872075814,0.0011313159728018713,-0.023745678459338167,0.002931712106844686
4.6000000000000005,-0.05477776427945703,0.0019221818283699415,-0.03196201602818042,0.005359661852495438,-0.0737925228019579,0.002060120307444297,-0.07143821406593402,0.00510126207558876,-0.04722871953470673,0.0014475399031884766,0.01093350484088817,0.005201894539859139,-0.02722869237738008,0.0011690812787237398,-0.023960390895999086,0.0030253648708277775
4.7,-0.05620882074729264,0.0019822297367219927,-0.03174882647978298,0.00551157206230709,-0.07564907169519816,0.0021240860877753754,-0.07248958643398203,0.0052566311273398005,-0.04844223879638783,0.001489634137061687,0.012683889587408433,0.00534529859181297,-0.02787913559665376,0.001207042213360535,-0.024239055441229188,0.0031185443662964697
4.800000000000001,-0.05769087126907723,0.002042100990932516,-0.03169542542989692,0.0056587372634925494,-0.07767056496846407,0.0021857830475180344,-0.0735730711047328,0.005412657419602159,-0.04970747327361755,0.0015313486174593394,0.014331429259735446,0.0054847747346396195,-0.028567164075176146,0.0012449447049345244,-0.02454935167998851,0.0032103763622417427
4.9,-0.05927281935560568,0.002100493204391439,-0.031682999718832615,0.005807236804410516,-0.07969086640814392,0.002249335110255733,-0.07501346328035793,0.005557855135281405,-0.05103554137113127,0.0015727298060701262,0.015898979493825734,0.005623081449503703,-0.02928029578959292,0.0012821495655093752,-0.024850575237868433,0.0032994560806117535
5.0,-0.060924759750679076,0.002158642447457097,-0.03179134098528782,0.0059525984025164454,-0.08180584193960157,0.002311764751443026,-0.07644154210255007,0.005705389828662399,-0.05239439419686601,0.0016140971529800573,0.017308807679183545,0.0057533379678882815,-0.030036305643766675,0.0013185126206735729,-0.025230294600763245,0.0033883252864222893
5.1000000000000005,-0.06260070059719332,0.002216715770174182,-0.031916870212681865,0.006099196317184829,-0.0839545568943794,0.002373973502312295,-0.07798291396572458,0.005848188017212383,-0.05378183489211248,0.0016553820497857148,0.01866181509892469,0.005884058315874738,-0.03082315142542518,0.0013545523250998546,-0.025659328735934947,0.0034744343744141162
5.2,-0.06433493057064929,0.0022740592732521654,-0.03219349404400515,0.006238983270038531,-0.08619172239404473,0.0024362316910694886,-0.07957737285795499,0.005989859201264765,-0.0551811130347717,0.0016965515067823966,0.02001163050230893,0.006009103174742091,-0.03162426441448036,0.0013902186713337776,-0.02610502244227736,0.003560179140141071
5.300000000000001,-0.06606008077110449,0.002331834679577437,-0.0324894174573562,0.006379955194103196,-0.08844998003355203,0.002498362107569195,-0.08131910714490118,0.006122335882045541,-0.05659599836247374,0.0017384438028092216,0.021396556772909442,0.006138678046097495,-0.03244297200808176,0.0014259134203031007,-0.02653933316047122,0.0036443656559889378
5.4,-0.0677975598143467,0.002390596163392572,-0.03266845081741297,0.006522823033674161,-0.09069257725593287,0.0025618064554615966,-0.08305287079814452,0.006254831299480733,-0.05798952086853628,0.0017808993104895248,0.02280371763858145,0.006264302908963593,-0.03325097328178039,0.0014614887046645502,-0.027112705029058003,0.00372681865178452
5.5,-0.06944096169102212,0.002451241531864951,-0.03287083886865546,0.006661780648078779,-0.0928966088060685,0.0026262151577906862,-0.08474483521216293,0.00639016732960668,-0.05939025457078133,0.001823081281677819,0.024266911979087317,0.0063903225332588385,-0.03402450000043441,0.0014971481036357044,-0.027551010694702054,0.003812500599752888
5.6000000000000005,-0.07109633523225434,0.002512048669631407,-0.033001463764197644,0.006800568735419742,-0.09504219746079104,0.0026916934326061096,-0.08650312101499093,0.006520782498392253,-0.06072327793534118,0.0018660610808316617,0.02583932583982125,0.006519468851882445,-0.03481462843070608,0.001533283638019402,-0.0279732038727371,0.0038977433199894568
5.7,-0.0726843508424236,0.002574146617760225,-0.033031250519537037,0.0069475187396695675,-0.09716995465718198,0.0027577621081714423,-0.08810919058012597,0.006655683582749385,-0.06203586598238409,0.0019098805087976313,0.02747631874506628,0.006647386544894734,-0.035572147168452015,0.0015705841119654789,-0.02834555903964932,0.0039862728478351735
5.800000000000001,-0.0742340381358064,0.002636732108191779,-0.03278082816227556,0.007092755007494911,-0.09921057941925085,0.00282662771572406,-0.08969754117378852,0.006792793698376272,-0.06330810405583756,0.0019550750378375427,0.029338522152007374,0.006780422360903982,-0.03630117151103072,0.0016077238074026468,-0.028622086337427327,0.004077129410996457
